facility_id,blood_group,product_name,n_obs,forecast_demand,combo_std,avg_collected,avg_transfused,avg_wastage_rate,shelf_life_days,pooled_std,effective_std,std_source,available_inventory_proxy,facility_shortage_rate,safety_stock,recommended_stock,inventory_gap,reorder_quantity,surplus_inventory,expiry_risk_surplus_based,wastage_attention_flag
BB_0001,AB_pos,fresh_frozen_plasma,1,260.0,,191.0,125.0,21.47,365,15.529870914464443,15.529870914464443,pooled_blood_group_product,191.0,0.3116883116883117,25.6,285.6,94.6,94.6,0.0,Low,Moderate
BB_0001,AB_pos,whole_blood,2,255.5,9.192388155425117,214.5,150.5,14.45,42,13.606168437472475,13.606168437472475,pooled_blood_group_product,214.5,0.3116883116883117,22.5,278.0,63.5,63.5,0.0,Low,Moderate
BB_0001,A_neg,group_O_neg_emergency,2,255.5,0.7071067811865476,207.5,142.0,15.645,42,15.275919791953486,15.275919791953486,pooled_blood_group_product,207.5,0.3116883116883117,25.2,280.7,73.2,73.2,0.0,Low,Moderate
BB_0001,A_pos,group_O_neg_emergency,1,257.0,,194.0,142.0,17.01,42,16.934146373239873,16.934146373239873,pooled_blood_group_product,194.0,0.3116883116883117,27.9,284.9,90.9,90.9,0.0,Low,Moderate
BB_0001,A_pos,packed_RBC,4,249.5,23.558437978779494,186.5,129.5,15.780000000000001,42,15.974157533973031,15.974157533973031,pooled_blood_group_product,186.5,0.3116883116883117,26.4,275.9,89.4,89.4,0.0,Low,Moderate
BB_0001,A_pos,platelet_concentrate,1,251.0,,218.0,137.0,15.6,5,15.570295650182972,15.570295650182972,pooled_blood_group_product,218.0,0.3116883116883117,25.7,276.7,58.7,58.7,0.0,Low,Moderate
BB_0001,A_pos,whole_blood,4,243.75,17.932744723921466,199.0,135.75,14.17,42,16.26859652330014,16.26859652330014,pooled_blood_group_product,199.0,0.3116883116883117,26.8,270.6,71.6,71.6,0.0,Low,Moderate
BB_0001,B_neg,packed_RBC,1,218.0,,224.0,127.0,9.82,42,17.510386528104863,17.510386528104863,pooled_blood_group_product,224.0,0.3116883116883117,28.9,246.9,22.9,22.9,0.0,Low,Low
BB_0001,B_neg,whole_blood,1,246.0,,193.0,136.0,13.99,42,14.346963359011946,14.346963359011946,pooled_blood_group_product,193.0,0.3116883116883117,23.7,269.7,76.7,76.7,0.0,Low,Moderate
BB_0001,B_pos,fresh_frozen_plasma,3,245.33333333333334,7.637626158259731,203.66666666666666,158.0,19.94,365,15.753623140581702,15.753623140581702,pooled_blood_group_product,203.66666666666666,0.3116883116883117,26.0,271.3,67.6,67.6,0.0,Low,Moderate
BB_0001,B_pos,group_O_neg_emergency,3,244.33333333333334,10.11599393699568,189.66666666666666,150.33333333333334,16.330000000000002,42,15.327786820822924,15.327786820822924,pooled_blood_group_product,189.66666666666666,0.3116883116883117,25.3,269.6,79.9,79.9,0.0,Low,Moderate
BB_0001,B_pos,packed_RBC,2,233.5,12.020815280171307,201.5,125.5,21.34,42,15.425681398117081,15.425681398117081,pooled_blood_group_product,201.5,0.3116883116883117,25.5,259.0,57.5,57.5,0.0,Low,High
